|,|__birthdate,|__college,|__first_name,|__full_name,|__gsis_id,|__gsis_name,|__height,|__last_name,|__number,|__position,|__profile_id,|__profile_url,|__status,|__team,|__weight,|__years_pro
00-0000045,5/18/1975,Michigan State,Flozell,Flozell Adams,00-0000045,F.Adams,79,Adams,,,2499355,http://www.nfl.com/player/flozelladams/2499355/pro...,,,338,13
00-0000108,12/09/1974,Louisville,David,David Akers,00-0000108,D.Akers,70,Akers,2,,2499370,http://www.nfl.com/player/davidakers/2499370/profi...,,,200,16
00-0000121,05/01/1971,North Carolina,Ethan,Ethan Albright,00-0000121,E.Albright,77,Albright,,,2499374,http://www.nfl.com/player/ethanalbright/2499374/pr...,,,260,16
00-0000551,09/06/1976,UCLA,Brendon,Brendon Ayanbadejo,00-0000551,B.Ayanbadejo,73,Ayanbadejo,,,2499480,http://www.nfl.com/player/brendonayanbadejo/249948...,,,225,10
00-0000585,6/22/1978,Georgia,Champ,Champ Bailey,00-0000585,C.Bailey,72,Bailey,27,,2499489,http://www.nfl.com/player/champbailey/2499489/prof...,,,192,16
00-0000741,04/07/1975,Virginia,Ronde,Ronde Barber,00-0000741,R.Barber,70,Barber,,,2499530,http://www.nfl.com/player/rondebarber/2499530/prof...,,,184,16
00-0000846,9/29/1977,Maryland,Eric,Eric Barton,00-0000846,E.Barton,75,Barton,,,2499561,http://www.nfl.com/player/ericbarton/2499561/profi...,,,245,12
00-0000865,12/05/1974,Eastern Michigan,Charlie,Charlie Batch,00-0000865,C.Batch,74,Batch,,,2499567,http://www.nfl.com/player/charliebatch/2499567/pro...,,,216,15
00-0001157,6/24/1972,Colorado,Mitch,Mitch Berger,00-0001157,M.Berger,76,Berger,,,2499635,http://www.nfl.com/player/mitchberger/2499635/prof...,,,228,16
00-0001176,8/15/1975,Notre Dame,Bertrand,Bertrand Berry,00-0001176,B.Berry,75,Berry,,,2499638,http://www.nfl.com/player/bertrandberry/2499638/pr...,,,254,12
00-0001231,3/13/1976,Oregon,Josh,Josh Bidwell,00-0001231,J.Bidwell,75,Bidwell,,,2499648,http://www.nfl.com/player/joshbidwell/2499648/prof...,,,228,11
00-0001255,02/06/1972,California,David,David Binn,00-0001255,D.Binn,75,Binn,,,2499654,http://www.nfl.com/player/davidbinn/2499654/profil...,,,228,18
00-0001263,7/23/1976,Harvard,Matt,Matt Birk,00-0001263,M.Birk,76,Birk,,,2499656,http://www.nfl.com/player/mattbirk/2499656/profile,,,310,15
00-0001388,5/22/1977,North Carolina,Dre',Dre' Bly,00-0001388,D.Bly,70,Bly,,,2499687,http://www.nfl.com/player/dre'bly/2499687/profile,,,188,12
00-0001477,7/31/1976,Louisiana-Monroe,Marty,Marty Booker,00-0001477,M.Booker,72,Booker,,,2499702,http://www.nfl.com/player/martybooker/2499702/prof...,,,205,11
00-0001545,08/01/1972,St. Cloud State,Todd,Todd Bouman,00-0001545,T.Bouman,74,Bouman,,,2499725,http://www.nfl.com/player/toddbouman/2499725/profi...,,,236,15
00-0001563,07/03/1977,Western Illinois,David,David Bowens,00-0001563,D.Bowens,75,Bowens,,,2499731,http://www.nfl.com/player/davidbowens/2499731/prof...,,,265,12
00-0001820,10/30/1975,Georgia Tech,Keith,Keith Brooking,00-0001820,K.Brooking,74,Brooking,,,2499799,http://www.nfl.com/player/keithbrooking/2499799/pr...,,,240,15
00-0001980,12/23/1976,Nebraska,Kris,Kris Brown,00-0001980,K.Brown,71,Brown,,,2499851,http://www.nfl.com/player/krisbrown/2499851/profil...,,,215,12
00-0002099,11/10/1972,Memphis,Isaac,Isaac Bruce,00-0002099,I.Bruce,72,Bruce,,,2499879,http://www.nfl.com/player/isaacbruce/2499879/profi...,,,188,16
00-0002110,9/17/1970,Washington,Mark,Mark Brunell,00-0002110,M.Brunell,73,Brunell,,,2499883,http://www.nfl.com/player/markbrunell/2499883/prof...,,,215,19
00-0002123,06/09/1973,Arizona,Tedy,Tedy Bruschi,00-0002123,T.Bruschi,73,Bruschi,,,2499884,http://www.nfl.com/player/tedybruschi/2499884/prof...,,,247,14
00-0002655,4/20/1964,Notre Dame,John,John Carney,00-0002655,J.Carney,71,Carney,,,2499991,http://www.nfl.com/player/johncarney/2499991/profi...,,,185,23
00-0003035,4/20/1977,Wake Forest,Desmond,Desmond Clark,00-0003035,D.Clark,75,Clark,,,2500080,http://www.nfl.com/player/desmondclark/2500080/pro...,,,249,13
00-0003239,8/16/1976,East Carolina,Rod,Rod Coleman,00-0003239,R.Coleman,74,Coleman,,,2500137,http://www.nfl.com/player/rodcoleman/2500137/profi...,,,285,10
00-0003292,12/30/1972,Penn State,Kerry,Kerry Collins,00-0003292,K.Collins,77,Collins,,,2500150,http://www.nfl.com/player/kerrycollins/2500150/pro...,,,247,17
00-0003315,11/05/1971,Michigan,Todd,Todd Collins,00-0003315,T.Collins,76,Collins,,,2500157,http://www.nfl.com/player/toddcollins/2500157/prof...,,,223,16
00-0003739,1/28/1977,Central Florida,Daunte,Daunte Culpepper,00-0003739,D.Culpepper,76,Culpepper,,,2500249,http://www.nfl.com/player/daunteculpepper/2500249/...,,,260,11
00-0003874,03/04/1973,Georgia,Phillip,Phillip Daniels,00-0003874,P.Daniels,77,Daniels,,,2500287,http://www.nfl.com/player/phillipdaniels/2500287/p...,,,302,15
00-0003888,10/22/1975,South Carolina State,Chartric,Chartric Darby,00-0003888,C.Darby,72,Darby,,,2500291,http://www.nfl.com/player/chartricdarby/2500291/pr...,,,302,9
00-0004073,10/13/1973,Clemson,Brian,Brian Dawkins,00-0004073,B.Dawkins,72,Dawkins,,,2500343,http://www.nfl.com/player/briandawkins/2500343/pro...,,,210,16
00-0004091,1/23/1975,Texas,Phil,Phil Dawson,00-0004091,P.Dawson,71,Dawson,4,K,2500351,http://www.nfl.com/player/phildawson/2500351/profi...,ACT,ARI,200,19
00-0004112,1/22/1976,Tarleton State,James,James Dearth,00-0004112,J.Dearth,76,Dearth,,,2500355,http://www.nfl.com/player/jamesdearth/2500355/prof...,,,265,12
00-0004161,01/10/1975,Louisiana-Lafayette,Jake,Jake Delhomme,00-0004161,J.Delhomme,74,Delhomme,,,2500361,http://www.nfl.com/player/jakedelhomme/2500361/pro...,,,215,14
00-0004472,3/15/1977,Howard,Marques,Marques Douglas,00-0004472,M.Douglas,74,Douglas,,,2500445,http://www.nfl.com/player/marquesdouglas/2500445/p...,,,290,12
00-0004505,2/26/1976,Stanford,Chris,Chris Draft,00-0004505,C.Draft,71,Draft,,,2500456,http://www.nfl.com/player/chrisdraft/2500456/profi...,,,234,13
00-0004541,02/02/1975,Alcorn State,Donald,Donald Driver,00-0004541,D.Driver,72,Driver,,,2500467,http://www.nfl.com/player/donalddriver/2500467/pro...,,,194,14
00-0004811,03/08/1970,Hawaii,Jason,Jason Elam,00-0004811,J.Elam,71,Elam,,,2500527,http://www.nfl.com/player/jasonelam/2500527/profil...,,,195,17
00-0004851,8/14/1975,North Carolina,Greg,Greg Ellis,00-0004851,G.Ellis,78,Ellis,,,2500538,http://www.nfl.com/player/gregellis/2500538/profil...,,,265,12
00-0004915,01/07/1973,Penn State,Bobby,Bobby Engram,00-0004915,B.Engram,70,Engram,,,2500556,http://www.nfl.com/player/bobbyengram/2500556/prof...,,,192,15
00-0005058,12/07/1976,LSU,Alan,Alan Faneca,00-0005058,A.Faneca,77,Faneca,,,2500587,http://www.nfl.com/player/alanfaneca/2500587/profi...,,,316,13
00-0005082,01/06/1975,Virginia,James,James Farrior,00-0005082,J.Farrior,74,Farrior,,,2500597,http://www.nfl.com/player/jamesfarrior/2500597/pro...,,,243,15
00-0005091,06/05/1976,LSU,Kevin,Kevin Faulk,00-0005091,K.Faulk,68,Faulk,,,2500600,http://www.nfl.com/player/kevinfaulk/2500600/profi...,,,202,13
00-0005106,10/10/1969,Southern Mississippi,Brett,Brett Favre,00-0005106,B.Favre,74,Favre,,,2500606,http://www.nfl.com/player/brettfavre/2500606/profi...,,,222,20
00-0005113,03/07/1966,Miami (Fla.),Jeff,Jeff Feagles,00-0005113,J.Feagles,73,Feagles,,,2500608,http://www.nfl.com/player/jefffeagles/2500608/prof...,,,215,22
